Stav,Změna,Pavilon,Místnost,"IČ",Inv. číslo,Název,Typ,Podtyp,SN,"VYRAD",Datum pořízení,
,,2,05,S,4885,MONITOR,"KA220HQbid 21,5"" LED ACER",,,,,
,,2,05,S,4889,PROJEKTOR,Acer P5330W,,,,,
,,2,05,S,4808,REPRO,,,,,,
,,2,06,S,4731,MONITOR,ACER K222HQL,,,,,
,,2,24,S,4728/1,PC,HP COMPAQ 8200 ELITE SFF,,,,,
,,2,07,S,2878,MONITOR,Benq,,,,,
,,2,07,S,4416,MONITOR,Acer KA210HQ,,,,,
,,2,07,S,4620,NOTEBO,HP HQ - TRE 71025,17,,,,
,,2,07,S,4650,PC,Dell Optiplex 790,Dell,,,,
,,2,07,S,4974,PC,ACER,Veriton,,,,
,,2,22,S,4732,MONITOR,ACER K222HQL,,,,,
,,2,22,S,4975,PC,ACER,VERITON,,,,
,,2,22,S,3680,REPRO,,,,,,
,,2,23,S,2964,MONITOR,ASUS VB191T,,,,,
,,1,27,UP,4843,PC,Acer,,,,,
,,2,23,S,4353,PROJEKTOR,NEC,M311X,,,,
,,2,24,S,4769,MONITOR,HP ZR22w,,,,,
,,2,24,S,4728/2,PC,HP COMPAQ 8200 ELITE SFF,,,,,
,,2,24,S,4788,REPRO,GENIUS,,,,,
,,2,24,S,5230,SLUCHATKA,COBRA E-BLUE,,,,,
,,2,25,S,4849,MONITOR,ACER,K222HQL,,,,
,,2,25,S,3900,PROJEKTOR,EPSON,EB-W12,,,,
,,2,26,S,4581,MONITOR,AOC E2270SWDN,,,,,
,,2,26,UP,3525 (8),NOTEBO,ACER,TRAVELMATE 5735,,,,
,,2,26,S,4591,PC,HP ProDesk 400 G3 MT,,,,,
,,2,30,S,2809,TISKARNA,CANON,LBP3000,,,,
,,2,31,S,2812,MONITOR,Acer AL1917,,,,,
,,2,31,S,4762,PC,HP EliteDesk 800 G1 SFF,,,,,
,,2,31,S,4770,PROJEKTOR,VIVITEK,,,,,
,,2,31,S,4786,REPRO,,,,,,
,,2,32,S,5193,KAMERA,,,,,,
,,2,32,S,5385,MIKROFON,RADIUM 100,,,,,
,,2,32,S,3070/2,MONITOR,ASUS VB191T,,,,,
,,2,32,S,4031,PC,LENOVO TC EDGE i3,,,,,
,,2,32,S,4028,PROJEKTOR,EPSON,EB-X14,,,,
,,2,33,S,5277,MIKROFON,RADIUM 100,,,,,
,,2,33,S,3461/2,MONITOR,ACER V193,,,,,
,UP,2,33,S,4630,PC,DELL OPTIPLEX 7010,Dell,,,,
,,2,33,S,3674,PROJEKTOR,EPSON,EB-W12,,,,
,,2,33,S,"4812
",REPRO,GENIUS SP HF-1800A,,,,,
,,3,4,S,4971,MONITOR,ACER,KA220HQ,,,,
,,3,4,S,4592,PC,HP, PRODESK 400 G3,,,,
,,3,7,S,4382,TISKARNA,Samsung,,,,,
,,3,20,S,5904,PC,HP Prodesk,405 G8,,,,
,,3,21,S,3461,TISKARNA,Canon,LBP3010,,,,
,,3,24,UP,5746,PC,LYNX ,GTX785,,,,
,,3,24,Š,4856,PC,Acer,Veriton,,,,
,,3,25,S,4730/1,PC,HP COMPAQ 8200 ELITE,,,,,
,,3,26,S,5320,CHROMEBO,,,,,,
,,3,26,s,--,CHROMEBO,,,,,,
,,3,26,S,5900,SWITCH,HP Aruba,6100,,,,
